Timestamp,3dX,3dY,3dZ,2dX,2dY,ScreenWidth,ScreenHeight
2024-05-04 19:30:19.262,590,433
2024-05-04 19:30:21.820,-4.382889,-1.150808,5.076948,-29,131.5,590,433
2024-05-04 19:30:21.836,-2.98075,-1.150808,3.007252,-77,73,590,433
2024-05-04 19:30:21.845,-2.750867,-1.150808,2.73127,-83,58.5,590,433
2024-05-04 19:30:21.854,-2.581189,-1.150808,2.545962,-85.5,47,590,433
2024-05-04 19:30:21.873,-2.498484,-1.150808,2.487266,-82,43,590,433
2024-05-04 19:30:21.883,-2.464871,-1.150808,2.480119,-78,42.5,590,433
2024-05-04 19:30:21.891,-2.412006,-1.150808,2.480119,-70,42.5,590,433
2024-05-04 19:30:21.899,-2.362625,-1.150808,2.487266,-61.5,43,590,433
2024-05-04 19:30:21.908,-2.330103,-1.150808,2.538474,-49.5,46.5,590,433
2024-05-04 19:30:21.916,-2.27876,-1.150808,2.615398,-32,51.5,590,433
2024-05-04 19:30:21.927,-2.11875,-1.150808,3.017767,31.5,73.5,590,433
2024-05-04 19:30:21.939,-2.026525,-1.150808,3.306825,65,86,590,433
2024-05-04 19:30:21.950,-1.936563,-1.150808,3.785444,103,102.5,590,433
2024-05-04 19:30:21.957,-1.936563,-1.150808,3.785444,103,102.5,590,433
2024-05-04 19:30:21.964,-1.928755,-1.150808,3.977333,113,108,590,433
2024-05-04 19:30:21.972,-1.965669,-1.150808,4.109912,115.5,111.5,590,433
2024-05-04 19:30:21.980,-2.006573,-1.150808,4.230791,117,114.5,590,433
2024-05-04 19:30:21.987,-2.056989,-1.150808,4.337093,117,117,590,433
2024-05-04 19:30:21.996,-2.120936,-1.150808,4.471924,117,120,590,433
2024-05-04 19:30:22.004,-2.184076,-1.150808,4.566567,115.5,122,590,433
2024-05-04 19:30:22.012,-2.287167,-1.150808,4.690659,112,124.5,590,433
2024-05-04 19:30:22.020,-2.369162,-1.150808,4.742205,107.5,125.5,590,433
2024-05-04 19:30:22.027,-2.497692,-1.150808,4.794896,99.5,126.5,590,433
2024-05-04 19:30:22.035,-2.617298,-1.150808,4.768406,89,126,590,433
2024-05-04 19:30:22.043,-2.732399,-1.150808,4.640222,74,123.5,590,433
2024-05-04 19:30:22.051,-2.785913,-1.150808,4.293936,51.5,116,590,433
2024-05-04 19:30:22.060,-2.91507,-1.150808,4.052026,25,110,590,433
2024-05-04 19:30:22.072,-3.052694,-1.150808,3.384633,-43.5,89,590,433
2024-05-04 19:30:22.082,-3.116214,-1.150808,3.127107,-79,78.5,590,433
2024-05-04 19:30:22.090,-3.147521,-1.150808,2.905998,-111.5,68,590,433
2024-05-04 19:30:22.098,-3.26094,-1.150808,2.775182,-146,61,590,433
2024-05-04 19:30:22.107,-3.294781,-1.150808,2.639393,-173.5,53,590,433
2024-05-04 19:30:22.115,-3.316828,-1.150808,2.553495,-192.5,47.5,590,433
2024-05-04 19:30:22.127,-3.344671,-1.150808,2.45892,-215.5,41,590,433
2024-05-04 19:30:22.136,-3.33677,-1.150808,2.417595,-223,38,590,433
2024-05-04 19:30:22.144,-3.328461,-1.150808,2.390807,-227.5,36,590,433
2024-05-04 19:30:22.154,-3.319984,-1.150808,2.371103,-230.5,34.5,590,433
2024-05-04 19:30:22.161,-3.284346,-1.150808,2.338974,-232,32,590,433
2024-05-04 19:30:22.171,-3.249125,-1.150808,2.313891,-232,30,590,433
2024-05-04 19:30:22.181,-3.214653,-1.150808,2.289341,-232,28,590,433
2024-05-04 19:30:22.190,-3.154514,-1.150808,2.259375,-229,25.5,590,433
2024-05-04 19:30:22.198,-3.148496,-1.150808,2.259375,-228,25.5,590,433
2024-05-04 19:30:22.208,-3.155989,-1.150808,2.271267,-226.5,26.5,590,433
2024-05-04 19:30:22.217,-3.273086,-1.150808,2.364607,-224.5,34,590,433
2024-05-04 19:30:22.225,-3.476239,-1.150808,2.508956,-225,44.5,590,433
2024-05-04 19:30:22.233,-3.745884,-1.150808,2.680377,-229.5,55.5,590,433
2024-05-04 19:30:22.240,-4.233295,-1.150808,2.986441,-237,72,590,433
2024-05-04 19:30:22.248,-4.813253,-1.150808,3.345276,-245,87.5,590,433
2024-05-04 19:30:22.257,-5.828646,-1.150808,3.977334,-255,108,590,433
2024-05-04 19:30:22.415,-5.114519,-1.150808,5.604425,-47.5,139.5,590,433
2024-05-04 19:30:22.424,-4.111901,-1.150808,4.690658,-34,124.5,590,433
2024-05-04 19:30:22.431,-3.250894,-1.150808,3.923098,-16,106.5,590,433
2024-05-04 19:30:22.441,-2.789759,-1.150808,3.537218,-1,94.5,590,433
2024-05-04 19:30:22.450,-2.359286,-1.150808,3.196597,18,81.5,590,433
2024-05-04 19:30:22.461,-2.102668,-1.150808,3.017767,33.5,73.5,590,433
2024-05-04 19:30:22.470,-1.752128,-1.150808,2.935652,71,69.5,590,433
2024-05-04 19:30:22.482,-1.606618,-1.150808,2.955759,91,70.5,590,433
2024-05-04 19:30:22.491,-1.523321,-1.150808,3.149932,113.5,79.5,590,433
2024-05-04 19:30:22.499,-1.458879,-1.150808,3.411389,134.5,90,590,433
2024-05-04 19:30:22.507,-1.447379,-1.150808,3.785445,151.5,102.5,590,433
2024-05-04 19:30:22.516,-1.452423,-1.150808,4.129576,163,112,590,433
2024-05-04 19:30:22.525,-1.361684,-0.9458951,4.667113,185.5,140.5,590,433
2024-05-04 19:30:22.534,-1.271152,-0.7498163,4.609395,191.5,155.5,590,433
2024-05-04 19:30:22.542,-1.193276,-0.5940486,4.640874,198.5,168.5,590,433
2024-05-04 19:30:22.548,-1.193276,-0.5940486,4.640874,198.5,168.5,590,433
2024-05-04 19:30:22.557,-1.155873,-0.4526816,4.715299,203,180.5,590,433
2024-05-04 19:30:22.566,-1.192289,-0.227934,5.027809,206,199.5,590,433
2024-05-04 19:30:22.762,-3.584771,-1.150808,8.461583,136,165.5,590,433
2024-05-04 19:30:22.771,-1.507224,-0.8840793,4.636647,173,145,590,433
2024-05-04 19:30:22.780,-0.9319696,-1.150808,4.542535,218,121.5,590,433
2024-05-04 19:30:22.788,-0.2397542,-1.150808,3.672686,270.5,99,590,433
2024-05-04 19:30:22.797,0.2098231,-1.150808,3.149932,320,79.5,590,433
2024-05-04 19:30:22.806,0.7093983,-1.150808,2.52363,400.5,45.5,590,433
2024-05-04 19:30:22.815,0.7654777,-1.150808,2.424386,413.5,38.5,590,433
2024-05-04 19:30:22.824,0.7854033,-1.150808,2.358147,420,33.5,590,433
2024-05-04 19:30:22.832,0.7757521,-1.150808,2.30155,421.5,29,590,433
2024-05-04 19:30:22.840,0.7376823,-1.150808,2.24177,418.5,24,590,433
2024-05-04 19:30:22.847,0.6702528,-1.150808,2.168547,411,17.5,590,433
2024-05-04 19:30:22.858,0.5496759,-1.150808,2.105076,393,11.5,590,433
2024-05-04 19:30:22.866,0.3724036,-1.150808,2.040381,363.5,5,590,433
2024-05-04 19:30:22.879,-0.07613134,-1.150808,1.970506,280.5,-2.5,590,433
2024-05-04 19:30:22.891,-0.3465252,-1.150808,1.970506,229,-2.5,590,433
2024-05-04 19:30:22.902,-0.9718485,-1.150808,2.120593,123,13,590,433
2024-05-04 19:30:22.914,-1.318752,-1.150808,2.224437,72.5,22.5,590,433
2024-05-04 19:30:22.924,-1.753819,-1.150808,2.424386,23.5,38.5,590,433
2024-05-04 19:30:22.934,-2.693031,-1.150808,2.839084,-61,64.5,590,433
2024-05-04 19:30:22.943,-3.17436,-1.150808,3.082433,-91.5,76.5,590,433
2024-05-04 19:30:22.950,-3.519187,-1.150808,3.269248,-109,84.5,590,433
2024-05-04 19:30:22.959,-3.776725,-1.150808,3.411388,-120.5,90,590,433
2024-05-04 19:30:22.968,-3.942283,-1.150808,3.522781,-125,94,590,433
2024-05-04 19:30:22.979,-4.04837,-1.150808,3.596172,-127.5,96.5,590,433
2024-05-04 19:30:22.986,-4.131602,-1.150808,3.657125,-129,98.5,590,433
2024-05-04 19:30:22.994,-4.235965,-1.150808,3.736282,-130.5,101,590,433
2024-05-04 19:30:23.004,-4.354035,-1.150808,3.835918,-131,104,590,433
2024-05-04 19:30:23.013,-4.443247,-1.150808,3.905344,-132,106,590,433
2024-05-04 19:30:23.022,-4.748587,-1.150808,4.149429,-134.5,112.5,590,433
2024-05-04 19:30:23.034,-4.942564,-1.150808,4.293936,-137,116,590,433
2024-05-04 19:30:23.041,-5.222157,-1.150808,4.495214,-141,120.5,590,433
2024-05-04 19:30:23.050,-5.665655,-1.150808,4.821683,-146,127,590,433
