Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:23:20.884
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:23:20.884
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:23:20.884
Main Camera,0,0,0,0,0,0,2024-05-04 19:23:20.884
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:23:20.884
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:23:20.884
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:23:20.884
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:23:20.884
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:23:20.884
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:23:20.884
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:23:22.986
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:23:22.986
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:23:22.986
Main Camera,0,0,0,0,0,0,2024-05-04 19:23:22.986
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:23:22.986
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:23:22.986
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:23:22.986
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:23:22.986
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:23:22.986
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:23:22.986
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:23:23.992
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:23:23.992
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:23:23.992
Main Camera,0,0,0,0,0,0,2024-05-04 19:23:23.993
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:23:23.993
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:23:23.993
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:23:23.993
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:23:23.993
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:23:23.993
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:23:23.993
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:23:24.997
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:23:24.997
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:23:24.997
Main Camera,0,0,0,0,0,0,2024-05-04 19:23:24.997
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:23:24.997
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:23:24.997
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:23:24.997
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:23:24.997
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:23:24.997
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:23:24.997
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:23:25.999
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:23:25.999
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:23:25.999
Main Camera,0,0,0,0,0,0,2024-05-04 19:23:25.999
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:23:25.999
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:23:25.999
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:23:25.999
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:23:25.999
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:23:25.999
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:23:25.999
