Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:26:33.721
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:26:33.723
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:26:33.723
Main Camera,0,0,0,0,0,0,2024-05-04 19:26:33.723
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:26:33.723
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:26:33.723
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:26:33.723
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:26:33.723
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:26:33.723
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:26:33.723
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:26:35.674
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:26:35.674
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:26:35.674
Main Camera,0,0,0,0,0,0,2024-05-04 19:26:35.674
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:26:35.674
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:26:35.674
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:26:35.674
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:26:35.674
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:26:35.674
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:26:35.674
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:26:36.677
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:26:36.677
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:26:36.677
Main Camera,0,0,0,0,0,0,2024-05-04 19:26:36.677
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:26:36.677
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:26:36.677
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:26:36.677
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:26:36.677
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:26:36.677
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:26:36.677
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:26:37.679
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:26:37.679
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:26:37.679
Main Camera,0,0,0,0,0,0,2024-05-04 19:26:37.679
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:26:37.679
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:26:37.679
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:26:37.679
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:26:37.679
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:26:37.679
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:26:37.679
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:26:38.684
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:26:38.684
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:26:38.684
Main Camera,0,0,0,0,0,0,2024-05-04 19:26:38.684
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:26:38.684
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:26:38.684
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:26:38.684
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:26:38.684
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:26:38.684
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:26:38.684
