Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:16:01.838
Main Camera,0,1,-10,0,0,0,2024-05-03 12:16:01.841
Directional Light,0,3,0,50,330,0,2024-05-03 12:16:01.841
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:16:01.841
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:16:01.841
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:16:01.841
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:16:01.841
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:16:01.841
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:16:03.606
Main Camera,0,1,-10,0,0,0,2024-05-03 12:16:03.606
Directional Light,0,3,0,50,330,0,2024-05-03 12:16:03.606
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:16:03.606
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:16:03.606
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:16:03.606
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:16:03.606
Cursor,-0.1780013,0.7604236,-9.7,0,0,0,2024-05-03 12:16:03.606
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:16:04.611
Main Camera,0,1,-10,0,0,0,2024-05-03 12:16:04.611
Directional Light,0,3,0,50,330,0,2024-05-03 12:16:04.611
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:16:04.611
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:16:04.611
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:16:04.611
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:16:04.611
Cursor,-0.2295186,0.6929873,-9.7,0,0,0,2024-05-03 12:16:04.611
