Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:36:01.533
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:36:01.536
Main Camera,0,0,0,0,0,0,2024-05-04 19:36:01.536
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:36:01.536
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:36:01.536
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:36:01.536
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:36:01.536
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:36:01.536
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:36:01.536
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:36:01.536
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:36:03.417
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:36:03.417
Main Camera,0,0,0,0,0,0,2024-05-04 19:36:03.417
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:36:03.417
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:36:03.417
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:36:03.418
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:36:03.418
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:36:03.418
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:36:03.418
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:36:03.418
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:36:04.417
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:36:04.417
Main Camera,0,0,0,0,0,0,2024-05-04 19:36:04.417
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:36:04.417
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:36:04.418
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:36:04.418
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:36:04.418
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:36:04.418
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:36:04.418
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:36:04.418
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:36:05.502
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:36:05.502
Main Camera,0,0,0,0,0,0,2024-05-04 19:36:05.502
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:36:05.502
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:36:05.502
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:36:05.502
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:36:05.502
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:36:05.502
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:36:05.502
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:36:05.502
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:36:06.517
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:36:06.517
Main Camera,0,0,0,0,0,0,2024-05-04 19:36:06.517
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:36:06.517
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:36:06.517
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:36:06.517
Sphere,-3.37,-0.67,5.08,0,0,0,2024-05-04 19:36:06.517
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:36:06.517
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:36:06.517
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:36:06.517
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:36:07.518
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:36:07.518
Main Camera,0,0,0,0,0,0,2024-05-04 19:36:07.518
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:36:07.518
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:36:07.518
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:36:07.518
Sphere,-1.23,-0.67,5.08,0,0,0,2024-05-04 19:36:07.518
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:36:07.518
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:36:07.518
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:36:07.518
