Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:21.248
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:21.249
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:21.249
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:21.249
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:21.249
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:21.249
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:21.249
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:21.249
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:21.249
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:15:21.249
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:23.246
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:23.246
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:23.246
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:23.246
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:23.246
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:23.246
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:23.246
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:23.246
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:23.246
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:15:23.246
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:24.257
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:24.257
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:24.257
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:24.257
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:24.257
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:24.257
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:24.257
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:24.257
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:24.257
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:15:24.257
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:25.265
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:25.265
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:25.265
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:25.265
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:25.265
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:25.265
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:25.265
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:25.265
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:25.265
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:15:25.265
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:26.270
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:26.270
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:26.270
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:26.270
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:26.270
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:26.270
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:26.270
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:26.270
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:26.270
Cursor,2.426573,-0.1508079,-7.302093,0,0,0,2024-05-04 19:15:26.270
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:27.270
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:27.270
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:27.270
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:27.270
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:27.270
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:27.270
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:27.270
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:27.270
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:27.270
Cursor,3.541037,0.3533464,-4.00533,0,0,0,2024-05-04 19:15:27.270
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:28.270
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:28.270
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:28.271
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:28.271
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:28.271
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:28.271
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:28.271
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:28.271
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:28.271
Cursor,4.317039,0.6338637,-3.674923,0,0,0,2024-05-04 19:15:28.271
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:29.276
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:29.276
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:29.276
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:29.276
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:29.276
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:15:29.276
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:15:29.276
Cube,6.62,0.18,-2.86,0,0,0,2024-05-04 19:15:29.276
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:15:29.276
Cursor,4.172541,0.5063777,-4.073846,0,0,0,2024-05-04 19:15:29.276
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:15:30.278
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:15:30.278
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:15:30.278
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:15:30.278
Directional Light,0,3,0,50,330,0,2024-05-04 19:15:30.278
