Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:26.358
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:30:26.363
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:26.363
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:26.363
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:26.363
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:26.363
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:26.363
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:26.363
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:26.363
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:28.454
Sphere (1),-0.2939579,1.194146,-9.7,0,0,0,2024-05-03 12:30:28.454
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:28.454
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:28.454
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:28.454
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:28.454
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:28.454
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:28.454
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:28.454
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:29.455
Sphere (1),-0.4498125,1.195565,-9.7,0,0,0,2024-05-03 12:30:29.455
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:29.455
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:29.455
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:29.455
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:29.455
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:29.455
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:29.455
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:29.455
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:30.458
Sphere (1),-0.4498125,1.195565,-9.7,0,0,0,2024-05-03 12:30:30.458
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:30.458
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:30.458
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:30.458
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:30.458
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:30.458
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:30.458
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:30.458
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:31.463
Sphere (1),-0.4498125,1.195565,-9.7,0,0,0,2024-05-03 12:30:31.463
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:31.463
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:31.463
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:31.463
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:31.463
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:31.463
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:31.463
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:31.463
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:32.468
Sphere (1),-0.4498125,1.195565,-9.7,0,0,0,2024-05-03 12:30:32.469
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:32.469
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:32.469
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:32.469
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:32.469
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:32.469
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:32.469
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:32.469
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:33.470
Sphere (1),-0.4498125,1.195565,-9.7,0,0,0,2024-05-03 12:30:33.470
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:33.470
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:33.470
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:33.470
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:33.470
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:33.470
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:33.470
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:33.470
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:34.477
Sphere (1),-0.4498125,1.195565,-9.7,0,0,0,2024-05-03 12:30:34.477
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:34.477
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:34.477
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:34.477
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:34.477
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:34.477
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:30:34.477
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:30:34.477
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:30:35.480
Sphere (1),-0.08946547,1.212247,-9.7,0,0,0,2024-05-03 12:30:35.480
Main Camera,0,1,-10,0,0,0,2024-05-03 12:30:35.480
Directional Light,0,3,0,50,330,0,2024-05-03 12:30:35.480
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:30:35.480
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:30:35.480
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:30:35.480
