Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:43.808
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:43.810
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:43.810
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:43.810
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:43.810
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:25:43.810
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:25:43.810
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:25:43.810
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:25:43.810
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:25:43.810
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:45.817
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:45.817
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:45.817
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:45.817
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:45.817
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:25:45.817
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:25:45.817
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:25:45.817
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:25:45.817
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:25:45.817
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:46.820
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:46.820
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:46.820
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:46.820
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:46.820
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:25:46.820
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:25:46.820
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:25:46.820
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:25:46.820
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:25:46.820
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:47.822
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:47.822
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:47.822
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:47.822
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:47.822
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:25:47.822
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:25:47.822
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:25:47.822
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:25:47.822
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:25:47.822
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:48.825
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:48.825
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:48.825
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:48.825
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:48.825
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:25:48.825
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:25:48.825
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:25:48.825
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:25:48.825
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:25:48.825
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:49.825
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:49.825
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:49.825
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:49.825
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:49.825
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:25:49.825
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:25:49.825
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:25:49.825
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:25:49.825
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:25:49.825
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:50.832
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:50.832
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:50.832
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:50.832
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:50.832
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:25:50.832
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:25:50.832
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:25:50.832
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:25:50.832
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:25:50.832
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:25:51.861
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:25:51.861
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:25:51.861
Main Camera,0,0,0,0,0,0,2024-05-04 19:25:51.861
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:25:51.861
