Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:24:06.662
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:24:06.664
Main Camera,0,1,-10,0,0,0,2024-05-03 12:24:06.664
Directional Light,0,3,0,50,330,0,2024-05-03 12:24:06.664
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:24:06.664
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:24:06.664
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:24:06.664
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:24:06.664
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:24:06.664
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:24:08.665
Sphere (1),0.3925977,1.058563,-9.7,0,0,0,2024-05-03 12:24:08.665
Main Camera,0,1,-10,0,0,0,2024-05-03 12:24:08.665
Directional Light,0,3,0,50,330,0,2024-05-03 12:24:08.665
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:24:08.665
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:24:08.665
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:24:08.665
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:24:08.665
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:24:08.665
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:24:09.672
Sphere (1),-0.08242775,0.871516,-9.7,0,0,0,2024-05-03 12:24:09.672
Main Camera,0,1,-10,0,0,0,2024-05-03 12:24:09.672
Directional Light,0,3,0,50,330,0,2024-05-03 12:24:09.672
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:24:09.672
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:24:09.672
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:24:09.672
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:24:09.672
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:24:09.672
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:24:10.674
Sphere (1),-0.009592882,1.209053,-9.7,0,0,0,2024-05-03 12:24:10.674
Main Camera,0,1,-10,0,0,0,2024-05-03 12:24:10.674
Directional Light,0,3,0,50,330,0,2024-05-03 12:24:10.674
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:24:10.674
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:24:10.674
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:24:10.674
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:24:10.674
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:24:10.674
