Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:27.506
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:27.506
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:27.506
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:27.506
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:27.506
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:27.506
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:05:27.506
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:05:27.506
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:27.506
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:27.506
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:29.683
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:29.683
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:29.683
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:29.683
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:29.683
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:29.683
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:05:29.683
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:05:29.683
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:29.683
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:29.683
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:30.685
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:30.685
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:30.685
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:30.685
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:30.685
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:30.685
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:05:30.685
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:05:30.685
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:30.685
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:30.685
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:31.688
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:31.688
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:31.688
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:31.688
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:31.688
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:31.688
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:05:31.688
Cube,6.57,0.18,-2.86,0,0,0,2024-05-04 19:05:31.688
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:31.688
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:31.688
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:32.689
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:32.689
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:32.689
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:32.689
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:32.689
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:32.689
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:05:32.689
Cube,6.85,0.18,-2.86,0,0,0,2024-05-04 19:05:32.689
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:32.689
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:32.689
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:33.691
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:33.691
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:33.691
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:33.692
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:33.692
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:33.692
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-04 19:05:33.692
Cube,7.94,0.18,-2.86,0,0,0,2024-05-04 19:05:33.692
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:33.692
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:33.692
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:34.698
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:34.698
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:34.698
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:34.698
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:34.698
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:34.698
Sphere,4.81,0.33,-3.68,0,0,0,2024-05-04 19:05:34.698
Cube,7.94,0.18,-2.86,0,0,0,2024-05-04 19:05:34.698
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:34.698
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:34.698
[Debug Updater],0,0,0,0,0,0,2024-05-04 19:05:35.702
eye,4.82,1.686975,0.05,0,0,0,2024-05-04 19:05:35.702
Sphere (1),0,1,-10,0,0,0,2024-05-04 19:05:35.702
Main Camera,5.34,1,-8.76,0,0,0,2024-05-04 19:05:35.702
Directional Light,0,3,0,50,330,0,2024-05-04 19:05:35.702
Global Volume,0.127,0,0,0,0,0,2024-05-04 19:05:35.702
Sphere,3.71,0.33,-3.68,0,0,0,2024-05-04 19:05:35.702
Cube,7.94,0.18,-2.86,0,0,0,2024-05-04 19:05:35.702
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-04 19:05:35.702
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-04 19:05:35.702
