Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:16:48.342
Main Camera,0,1,-10,0,0,0,2024-05-03 12:16:48.345
Directional Light,0,3,0,50,330,0,2024-05-03 12:16:48.345
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:16:48.345
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:16:48.345
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:16:48.345
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:16:48.345
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:16:48.345
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:16:50.140
Main Camera,0,1,-10,0,0,0,2024-05-03 12:16:50.140
Directional Light,0,3,0,50,330,0,2024-05-03 12:16:50.140
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:16:50.140
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:16:50.140
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:16:50.140
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:16:50.140
Cursor,-0.4306139,1.036558,-9.7,0,0,0,2024-05-03 12:16:50.140
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:16:51.141
Main Camera,0,1,-10,0,0,0,2024-05-03 12:16:51.141
Directional Light,0,3,0,50,330,0,2024-05-03 12:16:51.141
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:16:51.141
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:16:51.141
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:16:51.141
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:16:51.141
Cursor,0.02380457,1.212602,-9.7,0,0,0,2024-05-03 12:16:51.141
