X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
