Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:22:58.608
Sphere (1),0,1,-10,0,0,0,2024-05-03 12:22:58.612
Main Camera,0,1,-10,0,0,0,2024-05-03 12:22:58.612
Directional Light,0,3,0,50,330,0,2024-05-03 12:22:58.612
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:22:58.612
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:22:58.612
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:22:58.612
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:22:58.612
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:22:58.612
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:23:00.652
Sphere (1),-0.1016135,1.006744,-9.7,0,0,0,2024-05-03 12:23:00.652
Main Camera,0,1,-10,0,0,0,2024-05-03 12:23:00.652
Directional Light,0,3,0,50,330,0,2024-05-03 12:23:00.652
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:23:00.652
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:23:00.652
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:23:00.652
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:23:00.652
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:23:00.652
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:23:01.666
Sphere (1),-0.2558103,0.9868677,-9.7,0,0,0,2024-05-03 12:23:01.666
Main Camera,0,1,-10,0,0,0,2024-05-03 12:23:01.666
Directional Light,0,3,0,50,330,0,2024-05-03 12:23:01.666
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:23:01.666
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:23:01.666
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:23:01.666
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:23:01.666
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:23:01.666
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:23:02.667
Sphere (1),0.07034785,1.055014,-9.7,0,0,0,2024-05-03 12:23:02.667
Main Camera,0,1,-10,0,0,0,2024-05-03 12:23:02.667
Directional Light,0,3,0,50,330,0,2024-05-03 12:23:02.667
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:23:02.667
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:23:02.667
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:23:02.667
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:23:02.667
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:23:02.667
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:23:03.669
Sphere (1),-0.03801625,0.8846484,-9.7,0,0,0,2024-05-03 12:23:03.669
Main Camera,0,1,-10,0,0,0,2024-05-03 12:23:03.669
Directional Light,0,3,0,50,330,0,2024-05-03 12:23:03.669
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:23:03.669
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:23:03.669
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:23:03.669
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:23:03.669
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:23:03.669
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:23:04.674
Sphere (1),0.0273575,0.9872226,-9.7,0,0,0,2024-05-03 12:23:04.674
Main Camera,0,1,-10,0,0,0,2024-05-03 12:23:04.674
Directional Light,0,3,0,50,330,0,2024-05-03 12:23:04.674
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:23:04.674
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:23:04.674
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:23:04.674
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:23:04.674
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:23:04.674
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:23:05.680
Sphere (1),-0.4650773,0.8204064,-9.7,0,0,0,2024-05-03 12:23:05.680
Main Camera,0,1,-10,0,0,0,2024-05-03 12:23:05.680
Directional Light,0,3,0,50,330,0,2024-05-03 12:23:05.680
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:23:05.680
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:23:05.680
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:23:05.680
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:23:05.680
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:23:05.680
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:23:06.683
Sphere (1),-0.4650773,0.8204064,-9.7,0,0,0,2024-05-03 12:23:06.684
Main Camera,0,1,-10,0,0,0,2024-05-03 12:23:06.684
Directional Light,0,3,0,50,330,0,2024-05-03 12:23:06.684
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:23:06.684
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:23:06.684
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:23:06.684
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:23:06.684
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:23:06.684
