Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:19.268
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:19.268
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:19.268
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:19.268
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:19.268
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:19.268
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:30:19.268
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:30:19.268
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:19.268
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:19.268
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:21.279
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:21.279
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:21.279
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:21.279
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:21.279
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:21.279
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:30:21.279
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:30:21.279
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:21.279
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:21.279
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:22.283
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:22.283
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:22.283
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:22.283
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:22.283
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:22.283
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:30:22.283
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:30:22.283
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:22.283
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:22.283
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:23.283
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:23.283
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:23.283
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:23.283
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:23.283
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:23.283
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:30:23.283
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:30:23.283
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:23.283
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:23.283
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:24.288
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:24.288
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:24.288
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:24.288
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:24.288
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:24.288
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:30:24.288
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:30:24.288
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:24.288
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:24.288
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:25.290
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:25.290
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:25.290
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:25.290
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:25.290
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:25.290
Sphere,-1.42,-0.24,5.08,0,0,0,2024-05-04 19:30:25.290
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:30:25.290
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:25.290
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:25.290
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:26.292
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:26.292
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:26.292
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:26.292
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:26.292
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:26.292
Sphere,-1.42,-0.24,5.08,0,0,0,2024-05-04 19:30:26.292
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:30:26.292
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:26.292
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:26.292
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:30:27.300
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:30:27.300
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:30:27.300
Main Camera,0,0,0,0,0,0,2024-05-04 19:30:27.300
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:30:27.300
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:30:27.300
Sphere,-1.42,-0.24,5.08,0,0,0,2024-05-04 19:30:27.300
Cube,2.88,-0.82,5.900001,0,0,0,2024-05-04 19:30:27.300
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:30:27.300
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:30:27.300
