Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:19:23.599
Sphere (1),0,1,-10,0,0,0,2024-05-03 14:19:23.602
Main Camera,0,1,-10,0,0,0,2024-05-03 14:19:23.602
Directional Light,0,3,0,50,330,0,2024-05-03 14:19:23.602
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:19:23.602
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:19:23.602
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:19:23.602
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:19:23.602
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:19:23.602
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:19:25.742
Sphere (1),-0.1809004,1.147044,-9.7,0,0,0,2024-05-03 14:19:25.742
Main Camera,0,1,-10,0,0,0,2024-05-03 14:19:25.742
Directional Light,0,3,0,50,330,0,2024-05-03 14:19:25.742
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:19:25.742
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:19:25.742
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:19:25.742
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:19:25.742
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:19:25.742
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:19:26.741
Sphere (1),-0.1809004,1.147044,-9.7,0,0,0,2024-05-03 14:19:26.741
Main Camera,0,1,-10,0,0,0,2024-05-03 14:19:26.741
Directional Light,0,3,0,50,330,0,2024-05-03 14:19:26.742
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:19:26.742
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:19:26.742
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:19:26.742
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:19:26.742
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:19:26.742
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:19:27.742
Sphere (1),-0.2358917,1.177415,-9.7,0,0,0,2024-05-03 14:19:27.742
Main Camera,0,1,-10,0,0,0,2024-05-03 14:19:27.742
Directional Light,0,3,0,50,330,0,2024-05-03 14:19:27.742
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:19:27.742
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:19:27.742
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 14:19:27.742
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 14:19:27.742
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 14:19:27.742
[Debug Updater],0,0,0,0,0,0,2024-05-03 14:19:28.745
Sphere (1),-0.03395638,1.096225,-9.7,0,0,0,2024-05-03 14:19:28.745
Main Camera,0,1,-10,0,0,0,2024-05-03 14:19:28.745
Directional Light,0,3,0,50,330,0,2024-05-03 14:19:28.745
Global Volume,0.127,0,0,0,0,0,2024-05-03 14:19:28.745
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 14:19:28.745
